time,th,Dth,psi,Dpsi,r,Dr,phi,Dphi,u,mode
0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00,0.0000000E+00,9.0234210E-02,0.0000000E+00,0.0000000E+00,0.0000000E+00,2.0000000E-01,1.0000000E+00
1.7135178E-06,1.7216644E-10,2.0095084E-04,6.1694229E-11,7.2008851E-05,9.0234210E-02,0.0000000E+00,1.0680260E-09,1.2465886E-03,2.0000000E-01,1.0000000E+00
1.0281107E-05,6.1979837E-09,1.2057027E-03,2.2209901E-09,4.3205246E-04,9.0234210E-02,0.0000000E+00,3.8448880E-08,7.4795150E-03,2.0000000E-01,1.0000000E+00
5.3119052E-05,1.6545066E-07,6.2294029E-03,5.9287803E-08,2.2322545E-03,9.0234210E-02,0.0000000E+00,1.0263639E-06,3.8643733E-02,2.0000000E-01,1.0000000E+00
2.6730878E-04,4.1896734E-06,3.1346433E-02,1.5013443E-06,1.1232857E-02,9.0234210E-02,0.0000000E+00,2.5990296E-05,1.9445454E-01,2.0000000E-01,1.0000000E+00
1.2673088E-03,9.4156985E-05,1.4857926E-01,3.3741531E-05,5.3244707E-02,9.0234210E-02,0.0000000E+00,5.8408606E-04,9.2167779E-01,2.0000000E-01,1.0000000E+00
2.2673088E-03,3.0133029E-04,2.6575840E-01,1.0798463E-04,9.5238164E-02,9.0234210E-02,0.0000000E+00,1.8692321E-03,1.6485598E+00,2.0000000E-01,1.0000000E+00
3.2673088E-03,6.2565582E-04,3.8288366E-01,2.2421070E-04,1.3721014E-01,9.0234210E-02,0.0000000E+00,3.8811013E-03,2.3751286E+00,2.0000000E-01,1.0000000E+00
4.2673088E-03,1.0670796E-03,4.9995485E-01,3.8239672E-04,1.7915756E-01,9.0234210E-02,0.0000000E+00,6.6193943E-03,3.1014122E+00,2.0000000E-01,1.0000000E+00
5.2673088E-03,1.6255474E-03,6.1697178E-01,5.8251660E-04,2.2107733E-01,9.0234210E-02,0.0000000E+00,1.0083840E-02,3.8274384E+00,2.0000000E-01,1.0000000E+00
6.2673088E-03,2.3010050E-03,7.3393426E-01,8.2454114E-04,2.6296638E-01,9.0234210E-02,0.0000000E+00,1.4274195E-02,4.5532352E+00,2.0000000E-01,1.0000000E+00
7.2673088E-03,3.0933977E-03,8.5084210E-01,1.1084381E-03,3.0482165E-01,9.0234210E-02,0.0000000E+00,1.9190243E-02,5.2788304E+00,2.0000000E-01,1.0000000E+00
8.2673088E-03,4.0026709E-03,9.6769511E-01,1.4341721E-03,3.4664005E-01,9.0234210E-02,0.0000000E+00,2.4831797E-02,6.0042519E+00,2.0000000E-01,1.0000000E+00
9.2673088E-03,5.0287696E-03,1.0844931E+00,1.8017049E-03,3.8841852E-01,9.0234210E-02,0.0000000E+00,3.1198698E-02,6.7295275E+00,2.0000000E-01,1.0000000E+00
1.0267309E-02,6.1716387E-03,1.2012359E+00,2.2109949E-03,4.3015400E-01,9.0234210E-02,0.0000000E+00,3.8290813E-02,7.4546849E+00,2.0000000E-01,1.0000000E+00
1.1267309E-02,7.4312229E-03,1.3179233E+00,2.6619975E-03,4.7184344E-01,9.0234210E-02,0.0000000E+00,4.6108038E-02,8.1797519E+00,2.0000000E-01,1.0000000E+00
1.2267309E-02,8.8074667E-03,1.4345550E+00,3.1546654E-03,5.1348377E-01,9.0234210E-02,0.0000000E+00,5.4650296E-02,8.9047562E+00,2.0000000E-01,1.0000000E+00
1.3267309E-02,1.0300314E-02,1.5511310E+00,3.6889477E-03,5.5507195E-01,9.0234210E-02,0.0000000E+00,6.3917538E-02,9.6297253E+00,2.0000000E-01,1.0000000E+00
1.4267309E-02,1.1909710E-02,1.6676511E+00,4.2647909E-03,5.9660494E-01,9.0234210E-02,0.0000000E+00,7.3909744E-02,1.0354687E+01,2.0000000E-01,1.0000000E+00
1.5267309E-02,1.3635598E-02,1.7841150E+00,4.8821382E-03,6.3807969E-01,9.0234210E-02,0.0000000E+00,8.4626919E-02,1.1079669E+01,2.0000000E-01,1.0000000E+00
1.6267309E-02,1.5477921E-02,1.9005225E+00,5.5409298E-03,6.7949318E-01,9.0234210E-02,0.0000000E+00,9.6069097E-02,1.1804698E+01,2.0000000E-01,1.0000000E+00
1.7267309E-02,1.7436624E-02,2.0168735E+00,6.2411031E-03,7.2084237E-01,9.0234210E-02,0.0000000E+00,1.0823634E-01,1.2529802E+01,2.0000000E-01,1.0000000E+00
1.8267309E-02,1.9511649E-02,2.1331677E+00,6.9825921E-03,7.6212425E-01,9.0234210E-02,0.0000000E+00,1.2112874E-01,1.3255009E+01,2.0000000E-01,1.0000000E+00
1.9267309E-02,2.1702940E-02,2.2494050E+00,7.7653281E-03,8.0333579E-01,9.0234210E-02,0.0000000E+00,1.3474640E-01,1.3980345E+01,2.0000000E-01,1.0000000E+00
2.0267309E-02,2.4010440E-02,2.3655853E+00,8.5892393E-03,8.4447399E-01,9.0234210E-02,0.0000000E+00,1.4908948E-01,1.4705838E+01,2.0000000E-01,1.0000000E+00
2.1267309E-02,2.6434092E-02,2.4817082E+00,9.4542507E-03,8.8553584E-01,9.0234210E-02,0.0000000E+00,1.6415814E-01,1.5431516E+01,2.0000000E-01,1.0000000E+00
2.2267309E-02,2.8973838E-02,2.5977737E+00,1.0360285E-02,9.2651835E-01,9.0234210E-02,0.0000000E+00,1.7995258E-01,1.6157405E+01,2.0000000E-01,1.0000000E+00
2.3267309E-02,3.1629620E-02,2.7137815E+00,1.1307260E-02,9.6741852E-01,9.0234210E-02,0.0000000E+00,1.9647303E-01,1.6883532E+01,2.0000000E-01,1.0000000E+00
2.4267309E-02,3.4401381E-02,2.8297314E+00,1.2295093E-02,1.0082334E+00,9.0234210E-02,0.0000000E+00,2.1371973E-01,1.7609925E+01,2.0000000E-01,1.0000000E+00
2.5267309E-02,3.7289063E-02,2.9456233E+00,1.3323697E-02,1.0489600E+00,9.0234210E-02,0.0000000E+00,2.3169297E-01,1.8336610E+01,2.0000000E-01,1.0000000E+00
2.6267309E-02,4.0292608E-02,3.0614570E+00,1.4392983E-02,1.0895953E+00,9.0234210E-02,0.0000000E+00,2.5039306E-01,1.9063614E+01,2.0000000E-01,1.0000000E+00
2.7267309E-02,4.3411958E-02,3.1772322E+00,1.5502856E-02,1.1301364E+00,9.0234210E-02,0.0000000E+00,2.6982032E-01,1.9790965E+01,2.0000000E-01,1.0000000E+00
2.8267309E-02,4.6647053E-02,3.2929488E+00,1.6653223E-02,1.1705803E+00,9.0234210E-02,0.0000000E+00,2.8997511E-01,2.0518688E+01,2.0000000E-01,1.0000000E+00
2.9267309E-02,4.9997836E-02,3.4086067E+00,1.7843984E-02,1.2109241E+00,9.0234210E-02,0.0000000E+00,3.1085783E-01,2.1246811E+01,2.0000000E-01,1.0000000E+00
3.0267309E-02,5.3464247E-02,3.5242056E+00,1.9075037E-02,1.2511649E+00,9.0234210E-02,0.0000000E+00,3.3246888E-01,2.1975360E+01,2.0000000E-01,1.0000000E+00
3.1267309E-02,5.7046227E-02,3.6397453E+00,2.0346278E-02,1.2912997E+00,9.0234210E-02,0.0000000E+00,3.5480870E-01,2.2704362E+01,2.0000000E-01,1.0000000E+00
3.2267309E-02,6.0743718E-02,3.7552257E+00,2.1657600E-02,1.3313256E+00,9.0234210E-02,0.0000000E+00,3.7787776E-01,2.3433843E+01,2.0000000E-01,1.0000000E+00
3.3267309E-02,6.4556659E-02,3.8706466E+00,2.3008892E-02,1.3712397E+00,9.0234210E-02,0.0000000E+00,4.0167655E-01,2.4163829E+01,2.0000000E-01,1.0000000E+00
3.4267309E-02,6.8484991E-02,3.9860077E+00,2.4400041E-02,1.4110392E+00,9.0234210E-02,0.0000000E+00,4.2620560E-01,2.4894346E+01,2.0000000E-01,1.0000000E+00
3.5267309E-02,7.2528654E-02,4.1013090E+00,2.5830931E-02,1.4507210E+00,9.0234210E-02,0.0000000E+00,4.5146543E-01,2.5625422E+01,2.0000000E-01,1.0000000E+00
3.6267309E-02,7.6687589E-02,4.2165502E+00,2.7301443E-02,1.4902824E+00,9.0234210E-02,0.0000000E+00,4.7745663E-01,2.6357081E+01,2.0000000E-01,1.0000000E+00
3.7267309E-02,8.0961735E-02,4.3317311E+00,2.8811455E-02,1.5297205E+00,9.0234210E-02,0.0000000E+00,5.0417980E-01,2.7089349E+01,2.0000000E-01,1.0000000E+00
3.8267309E-02,8.5351031E-02,4.4468516E+00,3.0360842E-02,1.5690324E+00,9.0234210E-02,0.0000000E+00,5.3163554E-01,2.7822254E+01,2.0000000E-01,1.0000000E+00
3.9267309E-02,8.9855418E-02,4.5619115E+00,3.1949477E-02,1.6082153E+00,9.0234210E-02,0.0000000E+00,5.5982453E-01,2.8555819E+01,2.0000000E-01,1.0000000E+00
4.0267309E-02,9.4474834E-02,4.6769106E+00,3.3577228E-02,1.6472663E+00,9.0234210E-02,0.0000000E+00,5.8874741E-01,2.9290072E+01,2.0000000E-01,1.0000000E+00
4.1267309E-02,9.9209219E-02,4.7918487E+00,3.5243964E-02,1.6861826E+00,9.0234210E-02,0.0000000E+00,6.1840491E-01,3.0025037E+01,2.0000000E-01,1.0000000E+00
4.2267309E-02,1.0405851E-01,4.9067257E+00,3.6949548E-02,1.7249615E+00,9.0234210E-02,0.0000000E+00,6.4879773E-01,3.0760741E+01,2.0000000E-01,1.0000000E+00
4.3267309E-02,1.0902265E-01,5.0215413E+00,3.8693840E-02,1.7636000E+00,9.0234210E-02,0.0000000E+00,6.7992664E-01,3.1497207E+01,2.0000000E-01,1.0000000E+00
4.4267309E-02,1.1410157E-01,5.1362954E+00,4.0476700E-02,1.8020955E+00,9.0234210E-02,0.0000000E+00,7.1179241E-01,3.2234462E+01,2.0000000E-01,1.0000000E+00
4.5267309E-02,1.1929522E-01,5.2509879E+00,4.2297983E-02,1.8404452E+00,9.0234210E-02,0.0000000E+00,7.4439584E-01,3.2972531E+01,2.0000000E-01,1.0000000E+00
4.6267309E-02,1.2460353E-01,5.3656185E+00,4.4157541E-02,1.8786462E+00,9.0234210E-02,0.0000000E+00,7.7773775E-01,3.3711439E+01,2.0000000E-01,1.0000000E+00
4.7267309E-02,1.3002644E-01,5.4801870E+00,4.6055225E-02,1.9166959E+00,9.0234210E-02,0.0000000E+00,8.1181900E-01,3.4451210E+01,2.0000000E-01,1.0000000E+00
4.8267309E-02,1.3556388E-01,5.5946934E+00,4.7990881E-02,1.9545914E+00,9.0234210E-02,0.0000000E+00,8.4664047E-01,3.5191870E+01,2.0000000E-01,1.0000000E+00
4.9267309E-02,1.4121580E-01,5.7091373E+00,4.9964355E-02,1.9923302E+00,9.0234210E-02,0.0000000E+00,8.8220305E-01,3.5933442E+01,2.0000000E-01,1.0000000E+00
5.0267309E-02,1.4698214E-01,5.8235187E+00,5.1975489E-02,2.0299094E+00,9.0234210E-02,0.0000000E+00,9.1850767E-01,3.6675952E+01,2.0000000E-01,1.0000000E+00
5.1267309E-02,1.5286282E-01,5.9378374E+00,5.4024120E-02,2.0673264E+00,9.0234210E-02,0.0000000E+00,9.5555527E-01,3.7419424E+01,2.0000000E-01,1.0000000E+00
5.2267309E-02,1.5885779E-01,6.0520932E+00,5.6110086E-02,2.1045785E+00,9.0234210E-02,0.0000000E+00,9.9334684E-01,3.8163883E+01,2.0000000E-01,1.0000000E+00
5.3267309E-02,1.6496698E-01,6.1662859E+00,5.8233221E-02,2.1416630E+00,9.0234210E-02,0.0000000E+00,1.0318834E+00,3.8909351E+01,2.0000000E-01,1.0000000E+00
5.4267309E-02,1.7119034E-01,6.2804154E+00,6.0393356E-02,2.1785773E+00,9.0234210E-02,0.0000000E+00,1.0711659E+00,3.9655854E+01,2.0000000E-01,1.0000000E+00
5.5267309E-02,1.7752779E-01,6.3944814E+00,6.2590318E-02,2.2153188E+00,9.0234210E-02,0.0000000E+00,1.1111954E+00,4.0403414E+01,2.0000000E-01,1.0000000E+00
5.6267309E-02,1.8397928E-01,6.5084839E+00,6.4823935E-02,2.2518848E+00,9.0234210E-02,0.0000000E+00,1.1519731E+00,4.1152057E+01,2.0000000E-01,1.0000000E+00
5.7267309E-02,1.9054474E-01,6.6224227E+00,6.7094029E-02,2.2882727E+00,9.0234210E-02,0.0000000E+00,1.1934999E+00,4.1901805E+01,2.0000000E-01,1.0000000E+00
5.8267309E-02,1.9722411E-01,6.7362975E+00,6.9400420E-02,2.3244800E+00,9.0234210E-02,0.0000000E+00,1.2357771E+00,4.2652681E+01,2.0000000E-01,1.0000000E+00
5.9267309E-02,2.0401731E-01,6.8501083E+00,7.1742927E-02,2.3605040E+00,9.0234210E-02,0.0000000E+00,1.2788057E+00,4.3404710E+01,2.0000000E-01,1.0000000E+00
6.0267309E-02,2.1092430E-01,6.9638548E+00,7.4121366E-02,2.3963422E+00,9.0234210E-02,0.0000000E+00,1.3225869E+00,4.4157914E+01,2.0000000E-01,1.0000000E+00
6.1267309E-02,2.1794500E-01,7.0775369E+00,7.6535549E-02,2.4319921E+00,9.0234210E-02,0.0000000E+00,1.3671219E+00,4.4912316E+01,2.0000000E-01,1.0000000E+00
